Fecha,Hora,Pronosticada,Minera,Variable,Estacion,OBS-PRO,uuid
01/03/2024,17,4.8,Enami,SO2,Paipote,Pronosticada,37de0470-5856-54e3-ac64-31bbd302601d
01/03/2024,18,5.2,Enami,SO2,Paipote,Pronosticada,d686f4cc-e239-5f5b-9724-180c572248eb
01/03/2024,19,7.4,Enami,SO2,Paipote,Pronosticada,eef82bd5-15ca-5005-82d2-e50194fc8f88
01/03/2024,20,5.1,Enami,SO2,Paipote,Pronosticada,b023c15c-9e87-5507-835f-8ff53fd4f2bf
01/03/2024,21,5.6,Enami,SO2,Paipote,Pronosticada,fa03a9ab-a5a4-575a-8283-c5650bd65511
01/03/2024,22,4.5,Enami,SO2,Paipote,Pronosticada,3ab2495a-9efb-5c8c-80dd-3cbfd4c7b636
01/03/2024,23,5.1,Enami,SO2,Paipote,Pronosticada,a14d970b-9ddf-54e1-936e-55cbd1b2dc7f
01/04/2024,0,5.8,Enami,SO2,Paipote,Pronosticada,a368dde6-0bdc-56a1-b6ee-f93b384cf92a
01/04/2024,1,2.7,Enami,SO2,Paipote,Pronosticada,ee87ef51-df15-505f-842d-5078ed4b2c81
01/04/2024,2,5.0,Enami,SO2,Paipote,Pronosticada,73ee7c51-ec34-594b-a041-edbaedd98804
01/04/2024,3,8.5,Enami,SO2,Paipote,Pronosticada,5427a97f-57ae-55a4-8013-ce0813221b7c
01/04/2024,4,14.6,Enami,SO2,Paipote,Pronosticada,2ff2d9a3-3218-5e6f-899d-af3c804f27a1
01/04/2024,5,18.8,Enami,SO2,Paipote,Pronosticada,ec2b63a2-d8a6-5742-8778-aac37e352e13
01/04/2024,6,4.8,Enami,SO2,Paipote,Pronosticada,0e1681f2-934a-5970-bd5b-46d1278d1685
01/04/2024,7,11.1,Enami,SO2,Paipote,Pronosticada,b66f2601-5fad-52b3-8f23-2efbce7d6185
01/04/2024,8,7.9,Enami,SO2,Paipote,Pronosticada,77d50f0d-eebc-5cea-9f4b-72e63a852d3a
01/04/2024,9,42.2,Enami,SO2,Paipote,Pronosticada,b4ed759b-1292-5d43-881b-61ba6a45994e
01/04/2024,10,11.9,Enami,SO2,Paipote,Pronosticada,e7594b8f-56bf-56ce-923e-9e42f64b51c1
01/04/2024,11,15.4,Enami,SO2,Paipote,Pronosticada,c9288fa5-a417-5ccc-af70-c7df00f36d9b
01/04/2024,12,5.1,Enami,SO2,Paipote,Pronosticada,722f61ea-a86b-51c9-a940-eac256fbf88e
01/04/2024,13,7.0,Enami,SO2,Paipote,Pronosticada,d8d77f6a-9153-5aa9-abf3-8ff25da57dfc
01/04/2024,14,3.8,Enami,SO2,Paipote,Pronosticada,152b70aa-2a1d-5d49-95c3-cd33ea4cae09
01/04/2024,15,5.1,Enami,SO2,Paipote,Pronosticada,e85213b9-2d05-5dc0-ac80-1bba76a8b186
01/04/2024,16,6.4,Enami,SO2,Paipote,Pronosticada,8eb3dca6-998d-5306-a140-22badda0c5a1
01/04/2024,17,4.8,Enami,SO2,Paipote,Pronosticada,457c51d3-36ee-5d73-867a-11f79dcb7584
01/04/2024,18,5.1,Enami,SO2,Paipote,Pronosticada,8cf0a35f-ace1-5b3b-8c1a-78eecdade18b
01/04/2024,19,5.9,Enami,SO2,Paipote,Pronosticada,7a148e85-8529-5391-8a38-e9d6fa917887
01/04/2024,20,6.2,Enami,SO2,Paipote,Pronosticada,8e4697d6-4639-5c73-9a13-c0fe445ac01a
01/04/2024,21,5.2,Enami,SO2,Paipote,Pronosticada,2f1d5884-17c5-5b27-921f-afeac2c82631
01/04/2024,22,4.2,Enami,SO2,Paipote,Pronosticada,98ea4c1c-6069-5852-a0c7-7bd60604d63a
01/04/2024,23,5.0,Enami,SO2,Paipote,Pronosticada,8605dc04-2b7a-51bd-b146-908b2d2d7124
01/05/2024,0,6.1,Enami,SO2,Paipote,Pronosticada,120b6361-1fd0-53f3-a0c7-0e6a0bdd1393
01/05/2024,1,2.6,Enami,SO2,Paipote,Pronosticada,2951059f-a0a1-5862-ae2a-9a8ae58e0a4e
01/05/2024,2,8.1,Enami,SO2,Paipote,Pronosticada,0d6a1cff-8962-5069-ae2b-0c04ad84b5ea
01/05/2024,3,3.2,Enami,SO2,Paipote,Pronosticada,a77a0c30-7563-5347-86c7-2b0d2839c0b2
01/05/2024,4,7.0,Enami,SO2,Paipote,Pronosticada,dbe1bc92-2dc2-5aa6-8cc7-97ecedb4e40f
01/05/2024,5,13.9,Enami,SO2,Paipote,Pronosticada,aa0b834f-44de-5127-82d4-667b604942c1
01/05/2024,6,12.6,Enami,SO2,Paipote,Pronosticada,ba50f8b1-990e-537d-aaef-0a60d5189b58
01/05/2024,7,5.2,Enami,SO2,Paipote,Pronosticada,f0e0120f-ffec-5416-bce6-749d368f1016
01/05/2024,8,5.8,Enami,SO2,Paipote,Pronosticada,1f6af889-0fc4-571c-bf4b-be806478466b
01/05/2024,9,12.5,Enami,SO2,Paipote,Pronosticada,f22663d4-f645-5a71-b04c-e1d92323c1f6
01/05/2024,10,10.6,Enami,SO2,Paipote,Pronosticada,2df7debf-2ddc-59fe-8cac-afebff3bc247
