Fecha,Hora,Pronosticada,Minera,Variable,Estacion
05/12/2023,13,22.8,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,14,33.7,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,15,27.3,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,16,27.4,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,17,31.0,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,18,58.8,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,19,44.9,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,20,47.2,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,21,26.2,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,22,19.2,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,23,52.6,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,0,40.8,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,1,15.8,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,2,17.3,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,3,11.4,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,4,49.7,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,5,48.0,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,6,115.1,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,7,22.8,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,8,67.7,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,9,141.2,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,10,110.9,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,11,102.3,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,12,46.8,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,13,31.5,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,14,17.7,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,15,27.3,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,16,22.6,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,17,50.7,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,18,28.5,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,19,105.2,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,20,33.5,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,21,60.2,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,22,59.0,Sierra Gorda,MP10,Sierra Gorda
05/13/2023,23,27.5,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,0,24.8,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,1,34.5,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,2,24.9,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,3,37.6,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,4,19.0,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,5,19.6,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,6,47.1,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,7,43.2,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,8,107.0,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,9,50.0,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,10,53.2,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,11,66.0,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,12,101.0,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,13,42.6,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,14,82.2,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,15,23.1,Sierra Gorda,MP10,Sierra Gorda
