"Fecha","Hora","MP10 (Âµg/mÂ³N)"
"16/11/2023","20","27.4"
"16/11/2023","21","38.6"
"16/11/2023","22","41.8"
"16/11/2023","23","38.1"
"17/11/2023","0","134.9"
"17/11/2023","1","42.6"
"17/11/2023","2","42.6"
"17/11/2023","3","114.4"
"17/11/2023","4","272.6"
"17/11/2023","5","145.2"
"17/11/2023","6","185.0"
"17/11/2023","7","77.6"
"17/11/2023","8","143.5"
"17/11/2023","9","176.8"
"17/11/2023","10","64.2"
"17/11/2023","11","45.7"
"17/11/2023","12","39.2"
"17/11/2023","13","36.2"
"17/11/2023","14","31.9"
"17/11/2023","15","39.9"
"17/11/2023","16","36.1"
"17/11/2023","17","32.9"
"17/11/2023","18","30.0"
"17/11/2023","19","67.2"
"17/11/2023","20","23.9"
"17/11/2023","21","22.4"
"17/11/2023","22","45.2"
"17/11/2023","23","102.8"
"18/11/2023","0","92.6"
"18/11/2023","1","31.4"
"18/11/2023","2","31.3"
"18/11/2023","3","113.0"
"18/11/2023","4","102.8"
"18/11/2023","5","236.0"
"18/11/2023","6","310.5"
"18/11/2023","7","114.4"
"18/11/2023","8","155.0"
"18/11/2023","9","210.7"
"18/11/2023","10","106.8"
"18/11/2023","11","20.0"
"18/11/2023","12","73.1"
"18/11/2023","13","33.1"
"18/11/2023","14","24.2"
"18/11/2023","15","16.4"
"18/11/2023","16","17.6"
"18/11/2023","17","13.9"
"18/11/2023","18","163.5"
"18/11/2023","19","97.6"
"18/11/2023","20","44.5"
"18/11/2023","21","47.2"
"18/11/2023","22","34.8"
"18/11/2023","23","37.2"
"19/11/2023","0","61.5"
"19/11/2023","1","160.7"
"19/11/2023","2","104.8"
"19/11/2023","3","217.9"
"19/11/2023","4","293.9"
"19/11/2023","5","169.5"
"19/11/2023","6","126.3"
"19/11/2023","7","129.2"
"19/11/2023","8","188.0"
"19/11/2023","9","162.4"
"19/11/2023","10","146.2"
"19/11/2023","11","74.7"
"19/11/2023","12","81.1"
"19/11/2023","13","50.7"
"19/11/2023","14","22.4"
"19/11/2023","15","18.1"
"19/11/2023","16","16.8"
"19/11/2023","17","114.0"
"19/11/2023","18","765.7"
"19/11/2023","19","46.2"
"19/11/2023","20","59.8"
"19/11/2023","21","48.2"
"19/11/2023","22","50.8"
"19/11/2023","23","106.1"
"20/11/2023","0","162.9"
"20/11/2023","1","367.8"
"20/11/2023","2","367.8"
"20/11/2023","3","650.9"
"20/11/2023","4","264.5"
"20/11/2023","5","197.4"
"20/11/2023","6","322.8"
"20/11/2023","7","385.2"
"20/11/2023","8","254.6"
"20/11/2023","9","231.0"
"20/11/2023","10","159.7"
"20/11/2023","11","97.8"
"20/11/2023","12","49.7"
"20/11/2023","13","46.5"
"20/11/2023","14","36.1"
"20/11/2023","15","36.3"
"20/11/2023","16","22.4"
"20/11/2023","17","41.6"
"20/11/2023","18","89.7"
"20/11/2023","19","29.9"
"20/11/2023","20","58.6"
"20/11/2023","21","32.8"
"20/11/2023","22","48.9"
"20/11/2023","23","75.9"
"21/11/2023","0","100.2"
"21/11/2023","1","166.6"
"21/11/2023","2","166.6"
"21/11/2023","3","230.0"
"21/11/2023","4","202.1"
"21/11/2023","5","229.7"
"21/11/2023","6","379.3"
"21/11/2023","7","280.6"
"21/11/2023","8","223.2"
"21/11/2023","9","191.9"
"21/11/2023","10","140.8"
"21/11/2023","11","36.5"
"21/11/2023","12","54.8"
"21/11/2023","13","31.4"
"21/11/2023","14","29.7"
"21/11/2023","15","21.7"
"21/11/2023","16","12.6"
"21/11/2023","17","146.2"
"21/11/2023","18","504.0"
"21/11/2023","19","50.4"
"21/11/2023","20","47.6"
"21/11/2023","21","34.3"
"21/11/2023","22","48.7"
"21/11/2023","23","164.4"
"22/11/2023","0","107.5"
"22/11/2023","1","115.1"
"22/11/2023","2","115.1"
"22/11/2023","3","188.8"
"22/11/2023","4","210.5"
"22/11/2023","5","126.1"
"22/11/2023","6","182.1"
"22/11/2023","7","126.1"
"22/11/2023","8","105.8"
"22/11/2023","9","94.6"
"22/11/2023","10","42.6"
"22/11/2023","11","70.4"
"22/11/2023","12","56.2"
"22/11/2023","13","45.5"
"22/11/2023","14","32.4"
"22/11/2023","15","36.1"
"22/11/2023","16","29.7"
"22/11/2023","17","29.2"
"22/11/2023","18","67.2"
"22/11/2023","19","59.8"
"22/11/2023","20","39.4"
"22/11/2023","21","11.6"
"22/11/2023","22","20.9"
"22/11/2023","23","23.9"
"23/11/2023","0","120.2"
"23/11/2023","1","143.0"
"23/11/2023","2","143.0"
"23/11/2023","3","59.8"
"23/11/2023","4","175.3"
"23/11/2023","5","219.8"
"23/11/2023","6","117.6"
"23/11/2023","7","101.6"
"23/11/2023","8","223.9"
"23/11/2023","9","176.6"
"23/11/2023","10","113.9"
"23/11/2023","11","74.0"
"23/11/2023","12","62.0"
"23/11/2023","13","39.9"
"23/11/2023","14","30.4"
"23/11/2023","15","26.0"
"23/11/2023","16","21.0"
"23/11/2023","17","21.5"
"23/11/2023","18","28.5"
"23/11/2023","19","49.2"
"23/11/2023","20","58.9"
"23/11/2023","21","36.5"
"23/11/2023","22","21.2"
"23/11/2023","23","18.7"
"24/11/2023","0","15.5"
"24/11/2023","1","48.9"
"24/11/2023","2","48.9"
"24/11/2023","3","34.0"
"24/11/2023","4","128.1"
"24/11/2023","5","62.7"
"24/11/2023","6","92.3"
"24/11/2023","7","338.2"
"24/11/2023","8","354.6"
"24/11/2023","9","376.6"
"24/11/2023","10","194.9"
"24/11/2023","11","95.3"
"24/11/2023","12","45.0"
"24/11/2023","13","45.0"
"24/11/2023","14","60.8"
"24/11/2023","15","41.9"
"24/11/2023","16","21.5"
"24/11/2023","17","41.6"
"24/11/2023","18","82.3"
"24/11/2023","19","86.8"
"24/11/2023","20","55.5"
"24/11/2023","21","41.1"
"24/11/2023","22","36.7"
"24/11/2023","23","28.2"
"25/11/2023","0","33.8"
"25/11/2023","1","83.2"
"25/11/2023","2","31.4"
"25/11/2023","3","171.4"
"25/11/2023","4","35.3"
"25/11/2023","5","208.8"
"25/11/2023","6","179.9"
"25/11/2023","7","120.4"
"25/11/2023","8","158.2"
"25/11/2023","9","130.7"
"25/11/2023","10","97.5"
"25/11/2023","11","104.3"
"25/11/2023","12","44.5"
"25/11/2023","13","57.5"
"25/11/2023","14","78.4"
"25/11/2023","15","55.8"
"25/11/2023","16","56.8"
"25/11/2023","17","84.6"
"25/11/2023","18","96.9"
"25/11/2023","19","65.8"
"25/11/2023","20","42.3"
"25/11/2023","21","41.1"
"25/11/2023","22","45.4"
"25/11/2023","23","57.7"
"26/11/2023","0","81.1"
"26/11/2023","1","83.3"
"26/11/2023","2","83.2"
"26/11/2023","3","28.0"
"26/11/2023","4","210.3"
"26/11/2023","5","127.3"
"26/11/2023","6","58.4"
"26/11/2023","7","216.7"
"26/11/2023","8","152.5"
"26/11/2023","9","210.0"
"26/11/2023","10","96.6"
"26/11/2023","11","96.6"
"26/11/2023","12","55.5"
"26/11/2023","13","74.8"
"26/11/2023","14","47.7"
"26/11/2023","15","35.4"
"26/11/2023","16","28.2"
"26/11/2023","17","136.9"
"26/11/2023","18","105.9"
"26/11/2023","19","61.1"
"26/11/2023","20","36.2"
"26/11/2023","21","24.8"
"26/11/2023","22","33.5"
"26/11/2023","23","100.7"
"27/11/2023","0","107.6"
"27/11/2023","1","341.0"
"27/11/2023","2","297.9"
"27/11/2023","3","153.1"
"27/11/2023","4","216.0"
"27/11/2023","5","228.6"
"27/11/2023","6","162.2"
"27/11/2023","7","146.4"
"27/11/2023","8","162.4"
"27/11/2023","9","77.0"
"27/11/2023","10","49.7"
"27/11/2023","11","76.2"
"27/11/2023","12","77.7"
"27/11/2023","13","40.4"
"27/11/2023","14","25.3"
"27/11/2023","15","19.7"
"27/11/2023","16","21.7"
"27/11/2023","17","322.9"
"27/11/2023","18","51.2"
"27/11/2023","19","47.4"
"27/11/2023","20","24.1"
"27/11/2023","21","23.4"
"27/11/2023","22","18.0"
"27/11/2023","23","30.4"
"28/11/2023","0","32.1"
"28/11/2023","1","106.3"
"28/11/2023","2","512.3"
"28/11/2023","3","112.2"
"28/11/2023","4","313.8"
"28/11/2023","5","143.2"
"28/11/2023","6","189.9"
"28/11/2023","7","197.1"
"28/11/2023","8","250.5"
"28/11/2023","9","268.2"
"28/11/2023","10","52.0"
"28/11/2023","11","40.1"
"28/11/2023","12","62.8"
"28/11/2023","13","77.0"
"28/11/2023","14","19.8"
"28/11/2023","15","11.9"
"28/11/2023","16","370.8"
"28/11/2023","17","58.9"
"28/11/2023","18","50.9"
"28/11/2023","19","46.7"
"28/11/2023","20","39.4"
"28/11/2023","21","40.6"
"28/11/2023","22","40.6"
"28/11/2023","23","26.9"
"29/11/2023","0","36.7"
"29/11/2023","1","48.4"
"29/11/2023","2","106.0"
"29/11/2023","3","72.8"
"29/11/2023","4","195.6"
"29/11/2023","5","100.1"
"29/11/2023","6","171.3"
"29/11/2023","7","495.2"
"29/11/2023","8","294.4"
"29/11/2023","9","182.9"
"29/11/2023","10","194.6"
"29/11/2023","11","77.4"
"29/11/2023","12","54.0"
"29/11/2023","13","71.6"
"29/11/2023","14","58.9"
"29/11/2023","15","78.9"
"29/11/2023","16","109.0"
"29/11/2023","17","79.8"
"29/11/2023","18","68.9"
"29/11/2023","19","68.4"
"29/11/2023","20","36.9"
"29/11/2023","21","22.6"
"29/11/2023","22","25.2"
"29/11/2023","23","30.3"
"30/11/2023","0","34.0"
"30/11/2023","1","79.5"
"30/11/2023","2","79.5"
"30/11/2023","3","126.1"
"30/11/2023","4","177.7"
"30/11/2023","5","212.6"
"30/11/2023","6","275.9"
"30/11/2023","7","162.3"
"30/11/2023","8","448.4"
"30/11/2023","9","231.4"
"30/11/2023","10","105.0"
"30/11/2023","11","55.2"
"30/11/2023","12","64.3"
"30/11/2023","13","34.6"
"30/11/2023","14","21.7"
"30/11/2023","15","12.8"
"30/11/2023","16","18.3"
"30/11/2023","17","173.6"
"30/11/2023","18","82.5"
"30/11/2023","19","111.3"
"30/11/2023","20","47.9"
"30/11/2023","21","22.3"
"30/11/2023","22","40.5"
"30/11/2023","23","69.6"
"01/12/2023","0","346.9"
"01/12/2023","1","266.9"
"01/12/2023","2","266.9"
"01/12/2023","3","152.7"
"01/12/2023","4","196.6"
"01/12/2023","5","218.3"
"01/12/2023","6","155.4"
"01/12/2023","7","140.8"
"01/12/2023","8","203.3"
"01/12/2023","9","127.8"
"01/12/2023","10","166.3"
"01/12/2023","11","76.2"
