Fecha,Hora,Observada,Minera,Variable,Estacion,OBS-PRO,uuid
01/03/2024,16,4.9,Enami,Velocidad del Viento,Paipote,Observada,933a122f-1efc-565e-8429-2a6d35d48dd9
01/03/2024,17,5.2,Enami,Velocidad del Viento,Paipote,Observada,37de0470-5856-54e3-ac64-31bbd302601d
01/03/2024,18,4.4,Enami,Velocidad del Viento,Paipote,Observada,d686f4cc-e239-5f5b-9724-180c572248eb
01/03/2024,19,3.5,Enami,Velocidad del Viento,Paipote,Observada,eef82bd5-15ca-5005-82d2-e50194fc8f88
01/03/2024,20,1.6,Enami,Velocidad del Viento,Paipote,Observada,b023c15c-9e87-5507-835f-8ff53fd4f2bf
01/03/2024,21,1.4,Enami,Velocidad del Viento,Paipote,Observada,fa03a9ab-a5a4-575a-8283-c5650bd65511
01/03/2024,22,1.1,Enami,Velocidad del Viento,Paipote,Observada,3ab2495a-9efb-5c8c-80dd-3cbfd4c7b636
01/03/2024,23,2.1,Enami,Velocidad del Viento,Paipote,Observada,a14d970b-9ddf-54e1-936e-55cbd1b2dc7f
01/04/2024,0,1.6,Enami,Velocidad del Viento,Paipote,Observada,a368dde6-0bdc-56a1-b6ee-f93b384cf92a
01/04/2024,1,1.3,Enami,Velocidad del Viento,Paipote,Observada,ee87ef51-df15-505f-842d-5078ed4b2c81
01/04/2024,2,1.8,Enami,Velocidad del Viento,Paipote,Observada,73ee7c51-ec34-594b-a041-edbaedd98804
01/04/2024,3,1.5,Enami,Velocidad del Viento,Paipote,Observada,5427a97f-57ae-55a4-8013-ce0813221b7c
01/04/2024,4,1.5,Enami,Velocidad del Viento,Paipote,Observada,2ff2d9a3-3218-5e6f-899d-af3c804f27a1
01/04/2024,5,1.3,Enami,Velocidad del Viento,Paipote,Observada,ec2b63a2-d8a6-5742-8778-aac37e352e13
01/04/2024,6,0.9,Enami,Velocidad del Viento,Paipote,Observada,0e1681f2-934a-5970-bd5b-46d1278d1685
01/04/2024,7,1.1,Enami,Velocidad del Viento,Paipote,Observada,b66f2601-5fad-52b3-8f23-2efbce7d6185
01/04/2024,8,1.1,Enami,Velocidad del Viento,Paipote,Observada,77d50f0d-eebc-5cea-9f4b-72e63a852d3a
01/04/2024,9,1.4,Enami,Velocidad del Viento,Paipote,Observada,b4ed759b-1292-5d43-881b-61ba6a45994e
01/04/2024,10,1.7,Enami,Velocidad del Viento,Paipote,Observada,e7594b8f-56bf-56ce-923e-9e42f64b51c1
01/04/2024,11,2.5,Enami,Velocidad del Viento,Paipote,Observada,c9288fa5-a417-5ccc-af70-c7df00f36d9b
01/04/2024,12,3.4,Enami,Velocidad del Viento,Paipote,Observada,722f61ea-a86b-51c9-a940-eac256fbf88e
01/04/2024,13,4.7,Enami,Velocidad del Viento,Paipote,Observada,d8d77f6a-9153-5aa9-abf3-8ff25da57dfc
01/04/2024,14,5.3,Enami,Velocidad del Viento,Paipote,Observada,152b70aa-2a1d-5d49-95c3-cd33ea4cae09
01/04/2024,15,6.1,Enami,Velocidad del Viento,Paipote,Observada,e85213b9-2d05-5dc0-ac80-1bba76a8b186
01/04/2024,16,5.1,Enami,Velocidad del Viento,Paipote,Observada,8eb3dca6-998d-5306-a140-22badda0c5a1
01/04/2024,17,4.8,Enami,Velocidad del Viento,Paipote,Observada,457c51d3-36ee-5d73-867a-11f79dcb7584
01/04/2024,18,4.5,Enami,Velocidad del Viento,Paipote,Observada,8cf0a35f-ace1-5b3b-8c1a-78eecdade18b
01/04/2024,19,3.9,Enami,Velocidad del Viento,Paipote,Observada,7a148e85-8529-5391-8a38-e9d6fa917887
01/04/2024,20,2.2,Enami,Velocidad del Viento,Paipote,Observada,8e4697d6-4639-5c73-9a13-c0fe445ac01a
01/04/2024,21,1.2,Enami,Velocidad del Viento,Paipote,Observada,2f1d5884-17c5-5b27-921f-afeac2c82631
01/04/2024,22,1.5,Enami,Velocidad del Viento,Paipote,Observada,98ea4c1c-6069-5852-a0c7-7bd60604d63a
01/04/2024,23,1.3,Enami,Velocidad del Viento,Paipote,Observada,8605dc04-2b7a-51bd-b146-908b2d2d7124
01/05/2024,0,1.4,Enami,Velocidad del Viento,Paipote,Observada,120b6361-1fd0-53f3-a0c7-0e6a0bdd1393
01/05/2024,1,1.1,Enami,Velocidad del Viento,Paipote,Observada,2951059f-a0a1-5862-ae2a-9a8ae58e0a4e
01/05/2024,2,0.9,Enami,Velocidad del Viento,Paipote,Observada,0d6a1cff-8962-5069-ae2b-0c04ad84b5ea
01/05/2024,3,0.9,Enami,Velocidad del Viento,Paipote,Observada,a77a0c30-7563-5347-86c7-2b0d2839c0b2
01/05/2024,4,0.8,Enami,Velocidad del Viento,Paipote,Observada,dbe1bc92-2dc2-5aa6-8cc7-97ecedb4e40f
01/05/2024,5,0.8,Enami,Velocidad del Viento,Paipote,Observada,aa0b834f-44de-5127-82d4-667b604942c1
01/05/2024,6,1.1,Enami,Velocidad del Viento,Paipote,Observada,ba50f8b1-990e-537d-aaef-0a60d5189b58
01/05/2024,7,1.2,Enami,Velocidad del Viento,Paipote,Observada,f0e0120f-ffec-5416-bce6-749d368f1016
01/05/2024,8,1.4,Enami,Velocidad del Viento,Paipote,Observada,1f6af889-0fc4-571c-bf4b-be806478466b
01/05/2024,9,1.3,Enami,Velocidad del Viento,Paipote,Observada,f22663d4-f645-5a71-b04c-e1d92323c1f6
01/05/2024,10,1.6,Enami,Velocidad del Viento,Paipote,Observada,2df7debf-2ddc-59fe-8cac-afebff3bc247
01/05/2024,11,2.1,Enami,Velocidad del Viento,Paipote,Observada,5394e5c5-6449-5a5b-b9e8-a9cd50b60f84
01/05/2024,12,3.0,Enami,Velocidad del Viento,Paipote,Observada,82dc5a99-8ab8-5699-b56e-59e5feb7d447
01/05/2024,13,4.2,Enami,Velocidad del Viento,Paipote,Observada,fcddcdd7-9164-50a6-a0b2-318fb0479c3a
01/05/2024,14,4.5,Enami,Velocidad del Viento,Paipote,Observada,a32ed6cd-9313-572e-b2e7-11bfe48a257c
01/05/2024,15,5.6,Enami,Velocidad del Viento,Paipote,Observada,836fdea7-dd11-5b59-81e5-ace634f1f0ad
01/05/2024,16,5.8,Enami,Velocidad del Viento,Paipote,Observada,0ef5111c-7b18-580f-a97f-71c8c9024563
01/05/2024,17,5.4,Enami,Velocidad del Viento,Paipote,Observada,1a58cc2b-f1ea-5d74-bd92-19eb0d4e7453
01/05/2024,18,4.5,Enami,Velocidad del Viento,Paipote,Observada,d0b5a9bc-d417-56c3-966b-b412cc308ae1
01/05/2024,19,3.0,Enami,Velocidad del Viento,Paipote,Observada,a58cf6cf-508a-561a-a313-f7fd814065e2
01/05/2024,20,1.5,Enami,Velocidad del Viento,Paipote,Observada,dbcbee78-32d9-5a46-b6b5-9e19caa22cd0
01/05/2024,21,1.3,Enami,Velocidad del Viento,Paipote,Observada,6a8fd4f5-effe-5bf1-8ae9-63b6bb68f028
01/05/2024,22,0.8,Enami,Velocidad del Viento,Paipote,Observada,82d39e9b-adc4-5d38-9ac1-d6b966474ee7
01/05/2024,23,1.4,Enami,Velocidad del Viento,Paipote,Observada,3c582259-11bc-5588-a071-688c8dcb32c0
01/06/2024,0,1.0,Enami,Velocidad del Viento,Paipote,Observada,5e127660-436a-5ddf-b822-2df0393f2276
01/06/2024,1,0.9,Enami,Velocidad del Viento,Paipote,Observada,56b776c9-b268-5c75-aa13-c3fcf062bbd2
01/06/2024,2,0.9,Enami,Velocidad del Viento,Paipote,Observada,c539e55e-1ce9-55fe-8f59-e6c33b3ac7d1
01/06/2024,3,0.7,Enami,Velocidad del Viento,Paipote,Observada,2158c12b-7f69-5b03-993c-0917e307f1bc
01/06/2024,4,0.8,Enami,Velocidad del Viento,Paipote,Observada,ccdaa7de-7133-51fa-bb80-b5ed012b5361
