"Fecha","Hora","MP10 (µg/m³N)"
"15/11/2023","19","25.4"
"15/11/2023","20","70.2"
"15/11/2023","21","26.2"
"15/11/2023","22","20.8"
"15/11/2023","23","80.2"
"16/11/2023","0","98.5"
"16/11/2023","1","314.2"
"16/11/2023","2","191.8"
"16/11/2023","3","133.8"
"16/11/2023","4","142.0"
"16/11/2023","5","160.2"
"16/11/2023","6","374.6"
"16/11/2023","7","108.5"
"16/11/2023","8","286.9"
"16/11/2023","9","236.6"
"16/11/2023","10","191.6"
"16/11/2023","11","42.9"
"16/11/2023","12","30.2"
"16/11/2023","13","42.8"
"16/11/2023","14","89.8"
"16/11/2023","15","266.1"
"16/11/2023","16","365.5"
"16/11/2023","17","59.0"
"16/11/2023","18","242.4"
"16/11/2023","19","25.4"
"16/11/2023","20","39.0"
"16/11/2023","21","26.2"
"16/11/2023","22","28.5"
"16/11/2023","23","220.6"
"17/11/2023","0","98.5"
"17/11/2023","1","158.5"
"17/11/2023","2","369.6"
"17/11/2023","3","139.8"
"17/11/2023","4","228.0"
"17/11/2023","5","231.7"
"17/11/2023","6","374.6"
"17/11/2023","7","261.0"
"17/11/2023","8","239.1"
"17/11/2023","9","92.4"
"17/11/2023","10","191.6"
"17/11/2023","11","60.7"
"17/11/2023","12","46.0"
"17/11/2023","13","42.8"
"17/11/2023","14","49.3"
"17/11/2023","15","266.1"
"17/11/2023","16","425.5"
"17/11/2023","17","59.0"
"17/11/2023","18","242.4"
"17/11/2023","19","12.5"
"17/11/2023","20","474.2"
"17/11/2023","21","26.2"
"17/11/2023","22","58.4"
"17/11/2023","23","147.8"
"18/11/2023","0","358.2"
"18/11/2023","1","211.6"
"18/11/2023","2","369.6"
"18/11/2023","3","179.5"
"18/11/2023","4","144.7"
"18/11/2023","5","114.4"
"18/11/2023","6","510.3"
"18/11/2023","7","594.1"
"18/11/2023","8","286.9"
"18/11/2023","9","217.0"
"18/11/2023","10","191.6"
"18/11/2023","11","60.7"
"18/11/2023","12","36.0"
"18/11/2023","13","29.8"
"18/11/2023","14","290.6"
"18/11/2023","15","266.1"
"18/11/2023","16","110.0"
"18/11/2023","17","59.0"
"18/11/2023","18","242.4"
"18/11/2023","19","12.5"
"18/11/2023","20","70.2"
"18/11/2023","21","26.2"
"18/11/2023","22","20.8"
"18/11/2023","23","33.9"
"19/11/2023","0","98.5"
"19/11/2023","1","255.0"
"19/11/2023","2","369.6"
"19/11/2023","3","104.8"
"19/11/2023","4","144.7"
"19/11/2023","5","114.4"
"19/11/2023","6","592.0"
"19/11/2023","7","274.2"
"19/11/2023","8","286.9"
"19/11/2023","9","335.4"
"19/11/2023","10","79.2"
"19/11/2023","11","105.0"
"19/11/2023","12","117.5"
"19/11/2023","13","79.8"
"19/11/2023","14","290.6"
"19/11/2023","15","266.1"
"19/11/2023","16","365.5"
"19/11/2023","17","59.0"
"19/11/2023","18","242.4"
"19/11/2023","19","25.4"
"19/11/2023","20","20.7"
"19/11/2023","21","27.8"
"19/11/2023","22","87.8"
"19/11/2023","23","33.9"
"20/11/2023","0","98.5"
"20/11/2023","1","158.5"
"20/11/2023","2","229.1"
"20/11/2023","3","193.8"
"20/11/2023","4","142.0"
"20/11/2023","5","123.6"
"20/11/2023","6","374.6"
"20/11/2023","7","594.1"
"20/11/2023","8","286.9"
"20/11/2023","9","333.3"
"20/11/2023","10","191.6"
"20/11/2023","11","60.7"
"20/11/2023","12","53.9"
"20/11/2023","13","29.8"
"20/11/2023","14","290.6"
"20/11/2023","15","266.1"
"20/11/2023","16","365.5"
"20/11/2023","17","59.0"
"20/11/2023","18","242.4"
"20/11/2023","19","25.4"
"20/11/2023","20","171.4"
"20/11/2023","21","26.2"
"20/11/2023","22","46.6"
"20/11/2023","23","33.9"
"21/11/2023","0","98.5"
"21/11/2023","1","158.5"
"21/11/2023","2","196.9"
"21/11/2023","3","133.8"
"21/11/2023","4","154.6"
"21/11/2023","5","123.6"
"21/11/2023","6","374.6"
"21/11/2023","7","594.1"
"21/11/2023","8","335.0"
"21/11/2023","9","333.3"
"21/11/2023","10","191.6"
"21/11/2023","11","60.7"
"21/11/2023","12","38.4"
"21/11/2023","13","42.8"
"21/11/2023","14","103.5"
"21/11/2023","15","266.1"
"21/11/2023","16","365.5"
"21/11/2023","17","59.0"
"21/11/2023","18","242.4"
