"Fecha","Hora","MP10 (µg/m³N)"
"19/11/2023","11","73.5"
"19/11/2023","12","82.2"
"19/11/2023","13","36.6"
"19/11/2023","14","42.8"
"19/11/2023","15","186.3"
"19/11/2023","16","255.8"
"19/11/2023","17","41.3"
"19/11/2023","18","169.7"
"19/11/2023","19","42.5"
"19/11/2023","20","49.1"
"19/11/2023","21","97.8"
"19/11/2023","22","87.6"
"19/11/2023","23","229.8"
"20/11/2023","0","147.8"
"20/11/2023","1","744.0"
"20/11/2023","2","214.0"
"20/11/2023","3","156.3"
"20/11/2023","4","202.5"
"20/11/2023","5","185.4"
"20/11/2023","6","225.8"
"20/11/2023","7","344.7"
"20/11/2023","8","646.5"
"20/11/2023","9","500.0"
"20/11/2023","10","287.4"
"20/11/2023","11","38.6"
"20/11/2023","12","26.9"
"20/11/2023","13","19.5"
"20/11/2023","14","34.5"
"20/11/2023","15","186.3"
"20/11/2023","16","255.8"
"20/11/2023","17","41.3"
"20/11/2023","18","169.7"
"20/11/2023","19","42.5"
"20/11/2023","20","49.1"
"20/11/2023","21","97.8"
"20/11/2023","22","69.9"
"20/11/2023","23","67.2"
"21/11/2023","0","147.8"
"21/11/2023","1","130.5"
"21/11/2023","2","308.1"
"21/11/2023","3","522.6"
"21/11/2023","4","213.0"
"21/11/2023","5","185.4"
"21/11/2023","6","561.8"
"21/11/2023","7","344.7"
"21/11/2023","8","502.5"
"21/11/2023","9","500.0"
"21/11/2023","10","287.4"
"21/11/2023","11","67.9"
"21/11/2023","12","32.4"
"21/11/2023","13","19.5"
"21/11/2023","14","203.4"
"21/11/2023","15","186.3"
"21/11/2023","16","255.8"
"21/11/2023","17","41.3"
"21/11/2023","18","169.7"
"21/11/2023","19","41.4"
"21/11/2023","20","36.3"
"21/11/2023","21","97.8"
"21/11/2023","22","69.9"
"21/11/2023","23","67.2"
"22/11/2023","0","147.8"
"22/11/2023","1","744.0"
"22/11/2023","2","214.0"
"22/11/2023","3","522.6"
"22/11/2023","4","202.5"
"22/11/2023","5","185.4"
"22/11/2023","6","561.8"
"22/11/2023","7","923.7"
"22/11/2023","8","296.6"
"22/11/2023","9","500.0"
"22/11/2023","10","287.4"
"22/11/2023","11","67.9"
"22/11/2023","12","32.4"
"22/11/2023","13","19.5"
"22/11/2023","14","17.8"
"22/11/2023","15","50.0"
"22/11/2023","16","143.5"
"22/11/2023","17","41.3"
"22/11/2023","18","169.7"
"22/11/2023","19","20.0"
"22/11/2023","20","49.1"
"22/11/2023","21","97.8"
"22/11/2023","22","219.8"
"22/11/2023","23","229.8"
"23/11/2023","0","147.8"
"23/11/2023","1","382.5"
"23/11/2023","2","214.0"
"23/11/2023","3","522.6"
"23/11/2023","4","231.9"
"23/11/2023","5","185.4"
"23/11/2023","6","225.8"
"23/11/2023","7","530.1"
"23/11/2023","8","502.5"
"23/11/2023","9","138.6"
"23/11/2023","10","287.4"
"23/11/2023","11","67.9"
"23/11/2023","12","82.5"
"23/11/2023","13","19.5"
"23/11/2023","14","34.5"
"23/11/2023","15","186.3"
"23/11/2023","16","255.8"
"23/11/2023","17","41.3"
"23/11/2023","18","169.7"
"23/11/2023","19","42.5"
"23/11/2023","20","36.3"
"23/11/2023","21","97.8"
"23/11/2023","22","78.8"
"23/11/2023","23","229.8"
"24/11/2023","0","267.8"
"24/11/2023","1","744.0"
"24/11/2023","2","308.1"
"24/11/2023","3","522.6"
"24/11/2023","4","120.0"
"24/11/2023","5","295.8"
"24/11/2023","6","561.8"
"24/11/2023","7","344.7"
"24/11/2023","8","296.6"
"24/11/2023","9","500.0"
"24/11/2023","10","287.4"
"24/11/2023","11","35.7"
"24/11/2023","12","32.4"
"24/11/2023","13","37.4"
"24/11/2023","14","203.4"
"24/11/2023","15","186.3"
"24/11/2023","16","77.0"
"24/11/2023","17","41.3"
"24/11/2023","18","169.7"
"24/11/2023","19","36.9"
"24/11/2023","20","36.3"
"24/11/2023","21","97.8"
"24/11/2023","22","69.9"
"24/11/2023","23","67.2"
"25/11/2023","0","201.3"
"25/11/2023","1","126.9"
"25/11/2023","2","214.0"
"25/11/2023","3","242.7"
"25/11/2023","4","120.0"
"25/11/2023","5","295.8"
"25/11/2023","6","561.8"
"25/11/2023","7","530.1"
"25/11/2023","8","296.6"
"25/11/2023","9","500.0"
"25/11/2023","10","287.4"
"25/11/2023","11","42.5"
"25/11/2023","12","21.1"
"25/11/2023","13","20.9"
"25/11/2023","14","203.4"
"25/11/2023","15","186.3"
"25/11/2023","16","276.6"
"25/11/2023","17","41.3"
"25/11/2023","18","169.7"
"25/11/2023","19","41.4"
"25/11/2023","20","36.3"
"25/11/2023","21","97.8"
"25/11/2023","22","69.9"
"25/11/2023","23","229.8"
"26/11/2023","0","147.8"
"26/11/2023","1","744.0"
"26/11/2023","2","214.0"
"26/11/2023","3","242.7"
"26/11/2023","4","573.9"
"26/11/2023","5","185.4"
"26/11/2023","6","561.8"
"26/11/2023","7","923.7"
"26/11/2023","8","296.6"
"26/11/2023","9","138.6"
"26/11/2023","10","287.4"
"26/11/2023","11","67.9"
"26/11/2023","12","32.4"
"26/11/2023","13","28.3"
"26/11/2023","14","34.5"
"26/11/2023","15","186.3"
"26/11/2023","16","77.0"
"26/11/2023","17","41.3"
"26/11/2023","18","169.7"
"26/11/2023","19","19.4"
"26/11/2023","20","36.3"
"26/11/2023","21","97.8"
"26/11/2023","22","69.9"
"26/11/2023","23","67.2"
"27/11/2023","0","201.3"
"27/11/2023","1","130.5"
"27/11/2023","2","308.1"
"27/11/2023","3","136.3"
"27/11/2023","4","120.0"
"27/11/2023","5","185.4"
"27/11/2023","6","561.8"
"27/11/2023","7","344.7"
"27/11/2023","8","538.3"
"27/11/2023","9","224.7"
"27/11/2023","10","104.2"
"27/11/2023","11","52.4"
"27/11/2023","12","82.5"
"27/11/2023","13","28.3"
"27/11/2023","14","203.4"
"27/11/2023","15","186.3"
"27/11/2023","16","297.8"
"27/11/2023","17","41.3"
"27/11/2023","18","70.5"
"27/11/2023","19","19.4"
"27/11/2023","20","36.3"
"27/11/2023","21","39.3"
"27/11/2023","22","31.2"
"27/11/2023","23","50.8"
"28/11/2023","0","130.2"
"28/11/2023","1","542.7"
"28/11/2023","2","343.7"
"28/11/2023","3","140.4"
"28/11/2023","4","120.0"
"28/11/2023","5","295.8"
"28/11/2023","6","298.2"
"28/11/2023","7","923.7"
"28/11/2023","8","296.6"
"28/11/2023","9","500.0"
"28/11/2023","10","287.4"
"28/11/2023","11","67.9"
"28/11/2023","12","82.5"
"28/11/2023","13","19.0"
"28/11/2023","14","203.4"
"28/11/2023","15","186.3"
"28/11/2023","16","77.0"
"28/11/2023","17","41.3"
"28/11/2023","18","169.7"
"28/11/2023","19","41.4"
"28/11/2023","20","36.3"
"28/11/2023","21","97.8"
"28/11/2023","22","87.6"
"28/11/2023","23","67.2"
"29/11/2023","0","147.8"
"29/11/2023","1","382.5"
"29/11/2023","2","214.0"
"29/11/2023","3","522.6"
"29/11/2023","4","231.9"
"29/11/2023","5","185.4"
"29/11/2023","6","561.8"
"29/11/2023","7","344.7"
"29/11/2023","8","296.6"
"29/11/2023","9","500.0"
"29/11/2023","10","287.4"
"29/11/2023","11","35.7"
"29/11/2023","12","32.4"
"29/11/2023","13","129.3"
"29/11/2023","14","203.4"
"29/11/2023","15","186.3"
