Fecha,Hora,Pronosticada,ID_table,Minera,Variable,Estacion,OBS-PRO,uuid
10/07/2023,13,4.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,0d0d2ec7-5b03-585a-8aea-d5bd286c6c31
10/07/2023,14,4.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,6dbede89-76ad-5e2e-9c04-2bb090da06f9
10/07/2023,15,8.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,21c9be6d-49a7-53c6-8dcc-341ba1feffed
10/07/2023,16,8.6,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,70b8a41a-b421-54b9-9332-32298630ea54
10/07/2023,17,7.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,0fa2dbd3-6bee-5e15-bb43-7acc5af14659
10/07/2023,18,4.6,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,780138f9-de44-5afc-9c11-a323d30a88cc
10/07/2023,19,3.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,88d30bf8-d2c4-5cb1-adf5-caf2d176caf5
10/07/2023,20,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,41931838-73f3-5cfc-93da-a627983fded4
10/07/2023,21,1.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b12d63f4-d3e8-50b8-9ab9-c8612d708e99
10/07/2023,22,1.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,a9aeb11c-5b56-539f-8d3b-4c7bd391c5b7
10/07/2023,23,1.6,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,f0d18d05-b122-5887-af2a-9dac656ef3e9
10/08/2023,0,0.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,8f2b7850-2a00-5cd4-8f99-0916b659d270
10/08/2023,1,1.0,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,c21a39ac-26d8-5f2b-90a4-a6870e8aff1e
10/08/2023,2,1.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,fe8b4824-18e4-51e8-99d6-3c2d1b300cfd
10/08/2023,3,1.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,e81d9d9b-bc19-54fb-ba68-72959e4561fd
10/08/2023,4,1.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,72136a00-a0de-5695-83cc-2f925961180f
10/08/2023,5,1.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,ef2ed1f5-645d-52b0-80ef-6327f9acaf09
10/08/2023,6,1.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,7f5e4e2c-9ce2-5e8e-a209-4c38af1833c1
10/08/2023,7,1.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,2848d30a-a6ce-5fdf-9b51-47626a8ffdfc
10/08/2023,8,1.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cba0843e-7aac-5146-b45b-9f89aeaf0956
10/08/2023,9,1.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,e3a19ebd-036e-504e-897a-3496205adf6f
