"Fecha","Hora","MP10 (Âµg/mÂ³N)"
"10/11/2023","7","150.9"
"10/11/2023","8","179.0"
"10/11/2023","9","109.1"
"10/11/2023","10","149.4"
"10/11/2023","11","105.3"
"10/11/2023","12","80.2"
"10/11/2023","13","140.5"
"10/11/2023","14","101.6"
"10/11/2023","15","98.3"
"10/11/2023","16","74.9"
"10/11/2023","17","69.8"
"10/11/2023","18","67.6"
"10/11/2023","19","98.0"
"10/11/2023","20","36.1"
"10/11/2023","21","24.9"
"10/11/2023","22","23.5"
"10/11/2023","23","15.2"
"11/11/2023","0","45.4"
"11/11/2023","1","22.5"
"11/11/2023","2","30.8"
"11/11/2023","3","86.3"
"11/11/2023","4","42.4"
"11/11/2023","5","52.8"
"11/11/2023","6","105.1"
"11/11/2023","7","100.9"
"11/11/2023","8","167.1"
"11/11/2023","9","156.7"
"11/11/2023","10","100.2"
"11/11/2023","11","72.0"
"11/11/2023","12","135.8"
"11/11/2023","13","88.0"
"11/11/2023","14","54.0"
"11/11/2023","15","25.0"
"11/11/2023","16","431.8"
"11/11/2023","17","150.4"
"11/11/2023","18","376.3"
"11/11/2023","19","56.9"
"11/11/2023","20","19.6"
"11/11/2023","21","22.7"
"11/11/2023","22","24.2"
"11/11/2023","23","40.5"
"12/11/2023","0","16.7"
"12/11/2023","1","27.6"
"12/11/2023","2","79.2"
"12/11/2023","3","36.6"
"12/11/2023","4","42.7"
"12/11/2023","5","61.2"
"12/11/2023","6","66.6"
"12/11/2023","7","155.2"
"12/11/2023","8","254.7"
"12/11/2023","9","78.3"
"12/11/2023","10","23.7"
"12/11/2023","11","8.2"
"12/11/2023","12","36.4"
"12/11/2023","13","84.9"
"12/11/2023","14","28.4"
"12/11/2023","15","13.6"
"12/11/2023","16","25.9"
"12/11/2023","17","76.3"
"12/11/2023","18","164.5"
"12/11/2023","19","93.4"
"12/11/2023","20","27.1"
"12/11/2023","21","36.1"
"12/11/2023","22","38.8"
"12/11/2023","23","21.8"
"13/11/2023","0","104.1"
"13/11/2023","1","46.4"
"13/11/2023","2","78.8"
"13/11/2023","3","57.9"
"13/11/2023","4","46.4"
"13/11/2023","5","73.2"
"13/11/2023","6","75.6"
"13/11/2023","7","213.1"
"13/11/2023","8","195.2"
"13/11/2023","9","90.0"
"13/11/2023","10","60.2"
"13/11/2023","11","192.6"
"13/11/2023","12","172.4"
"13/11/2023","13",""
